token	corpus_slbl_historique	corpus_discours
，	2560	1475
 	2446	128
的	2221	676
。	1373	706
、	725	704
了	473	151
在	403	152

	373	434
和	363	246
“	292	298
”	290	298
是	289	111
中国	234	207
西域	215	1
丝绸之路	215	57
与	213	9
年	203	62
有	181	31
）	175	12
印度	175	2
（	175	12
也	173	54
中	155	25
《	146	16
》	146	16
：	140	64
—	124	83
人	119	9
到	118	33
世纪	114	8
上	110	52
这	102	18
丝绸	100	1
而	96	5
为	96	112
丝路	94	15
从	93	21
今	92	1
海上	90	14
佛教	86	3
就	84	20
于	84	5
文化	82	15
等	81	70
公元前	81	1
但	78	12
·	76	3
被	69	1
都	68	26
时	65	2
至	62	1
后	62	6
之	62	21
对	61	40
他	60	9
-	59	36
历史	59	31
地	59	10
地区	59	28
记载	59	1
还	58	12
贸易	58	27
又	56	2
并	56	23
成为	55	21
由	55	3
将	55	103
一个	54	21
时期	54	4
发展	53	232
以	52	34
发现	51	1
这些	51	9
它	50	2
当时	50	1
古代	49	1
张骞	48	2
其	46	3
就是	45	13
已	44	1
前	43	8
经	43	1
或	42	1
已经	40	11
他们	39	6
大量	38	1
反映	38	1
这里	37	13
曾	37	1
汉代	37	3
各国	35	94
中亚	35	5
之间	35	3
即	35	1
进入	35	4
长安	35	2
所	35	1
经济	34	88
国家	34	65
重要	34	23
通过	33	13
关系	33	22
使	33	7
来	32	5
由于	32	1
；	32	10
开始	31	2
开辟	31	17
道路	31	20
繁荣	30	14
西方	30	3
出	30	9
贵霜	30	1
世界	30	74
还有	30	2
可以	29	14
说	29	10
影响	29	3
下	28	11
大	28	23
人们	28	4
向	28	27
以及	28	4
埃及	27	1
:	27	9
安息	27	1
同时	27	6
认为	27	4
罗马	27	1
多	26	33
形成	26	16
这条	26	2
其中	26	3
吐鲁番	26	1
成	26	1
不断	26	24
以后	25	1
泉州	25	1
5	25	15
东西方	25	6
敦煌	24	1
交流	24	35
一些	24	4
起点	24	7
文化交流	23	1
此	23	3
1	23	6
活动	23	3
西亚	23	2
陆上	23	8
欧洲	22	3
最早	22	1
中心	22	8
位于	22	1
不	21	26
使者	21	4
考古	21	1
路	21	18
新疆	21	1
传入	21	1
着	21	16
没有	21	9
包括	21	8
生动	21	1
说明	21	1
生活	21	9
早期	21	1
月	20	16
民族	20	11
来自	20	9
著名	20	5
商品	20	6
主要	20	3
政治	20	7
得到	20	6
出使	20	2
港	20	4
由此	19	2
经过	19	1
广州	19	2
技术	19	8
再	19	2
受到	19	3
地位	19	1
把	19	19
形象	19	2
逐渐	19	1
进行	19	6
高	19	2
随着	18	3
更是	18	3
学者	18	2
这个	18	5
到达	18	1
新	18	62
发生	18	4
建立	18	14
时间	17	3
早	17	2
之一	17	1
交往	17	20
过	17	6
作为	17	3
港口	17	7
可	17	22
国	17	12
用	17	4
方面	16	13
交通	16	3
2	16	9
生产	16	5
后来	16	2
通道	16	6
年代	15	1
起	15	5
设立	15	7
这样	15	7
一条	15	8
商贸	15	1
一	15	4
喀什	15	1
不仅	15	3
最	15	7
其他	15	13
北方	15	1
当地	15	5
20	15	8
草原	14	1
3	14	6
要	14	84
丰富	14	7
很	14	4
研究	14	3
记录	14	1
社会	14	14
使用	14	2
