token	specif
	-270.32153197290353
西域	-67.30910588754342
印度	-50.53085483282706
)	-44.985511803524766
(	-44.985511803524766
,	-43.798635107535254
.	-33.152907859793466
（	-31.076030310783608
）	-31.076030310783608
今	-28.770654821576734
丝绸	-27.52445563255942
佛教	-26.89287927346511
公元前	-23.391228755551083
高昌	-20.009408368812057
壁画	-19.696587065566263
公元	-19.383771269088957
记载	-18.445357137854124
罽	-17.5069927895987
人	-17.34644626484432
石窟	-16.8814442981839
传	-15.943162964850876
龟兹	-15.630413665576329
张骞	-15.004931600389796
第	-14.81354997757503
希腊人	-13.128618161039036
宾	-13.128618161039036
当时	-12.479260944093058
身毒	-12.19053617739882
钱币	-12.19053617739882
页	-12.19053617739882
时期	-11.256031724451804
于阗	-11.252503982886662
长安	-10.93983761593299
汉书	-10.93983761593299
汉代	-9.96300203136252
后汉书	-9.689227693595603
王朝	-9.689227693595603
月氏	-9.689227693595603
王	-9.661938335985585
于	-9.649837297890043
发现	-9.411761468919405
贵霜	-9.376588913348177
于阗国	-9.376588913348177
汉朝	-9.063955790560252
波斯	-9.060800445858797
被	-8.974719127872676
反映	-8.962695440379466
：	-8.75329589194143
唐朝	-8.438706089994762
罗马	-8.438706089994762
安息	-8.438706089994762
:	-8.438706089994762
遗址	-8.161860647716109
合浦	-8.126089576989745
大月氏	-8.126089576989745
和田	-8.126089576989745
吐鲁番	-8.126089576989745
出土	-8.126089576989745
还有	-7.863043329596493
匈奴	-7.813478458967483
泉州	-7.813478458967483
班超	-7.813478458967483
控制	-7.813478458967483
描绘	-7.5008730510468515
敦煌	-7.5008730510468515
特里亚	-7.5008730510468515
巴克	-7.5008730510468515
裸体	-7.5008730510468515
中原	-7.5008730510468515
天竺	-7.5008730510468515
艺术	-7.404843961747608
南道	-7.188273084652382
汉武帝	-7.188273084652382
诸国	-7.188273084652382
西汉	-7.188273084652382
即	-7.0172204423905455
帝国	-6.969472733949469
商人	-6.948542999113941
统治	-6.87567872601081
大夏	-6.87567872601081
班固	-6.87567872601081
徐闻	-6.87567872601081
传说	-6.563089832937515
东汉	-6.563089832937515
考古	-6.563089832937515
王国	-6.563089832937515
说明	-6.563089832937515
传入	-6.563089832937515
生动	-6.563089832937515
丝路	-6.507952942148448
出现	-6.468533601037926
以后	-6.376511706606852
出使	-6.250506400760709
西北部	-6.250506400760709
人们	-6.097631105865584
莫高窟	-5.937928564765175
大宛	-5.937928564765175
广州	-5.937928564765175
克孜尔	-5.937928564765175
路线	-5.786160691968552
北	-5.625356300414757
唐太宗	-5.625356300414757
罗马帝国	-5.625356300414757
始发	-5.625356300414757
河西走廊	-5.625356300414757
阿富汗	-5.625356300414757
阗	-5.625356300414757
成	-5.535615834670622
西北	-5.492100296445765
葱岭	-5.312789519248919
都城	-5.312789519248919
the	-5.312789519248919
史记	-5.312789519248919
说法	-5.312789519248919
西	-5.312789519248919
佛像	-5.312789519248919
东西方	-5.256423449992007
日本	-5.256423449992007
大量	-5.220254344828236
最为	-5.198870881072606
古代	-5.059818778336599
李希霍芬	-5.000228238284241
陀罗	-5.000228238284241
～	-5.000228238284241
画面	-5.000228238284241
疏勒	-5.000228238284241
犍	-5.000228238284241
后来	-5.000228238284241
但	-4.988208448127038
有	-4.958395746526688
西行	-4.90654924609933
西方	-4.78438146875475
此	-4.702162482298918
盆地	-4.687672613538248
麹	-4.687672613538248
The	-4.687672613538248
高昌国	-4.687672613538248
寺院	-4.687672613538248
年代	-4.687672613538248
甚至	-4.687672613538248
记述	-4.687672613538248
帕提亚	-4.687672613538248
南方	-4.687672613538248
喀什	-4.687672613538248
唐代	-4.615224147391956
长	-4.375122369861656
鄯善	-4.375122369861656
记录	-4.375122369861656
物品	-4.375122369861656
玉石	-4.375122369861656
两汉	-4.375122369861656
在位	-4.375122369861656
发生	-4.324997025136683
使者	-4.154209626298636
它	-4.127134395673671
一时期	-4.062577653248038
流行	-4.062577653248038
